pair_id,language,operation,span_linguistic_type,span_text,span_length,source_text,target_text
c30af7665294835c0456,ca,DELETE,Named entity or proper name,Tramit_Page,1,Tramit_Page.Description.important_information • Les persones físiques i les entitats estan obligades a fer el tràmit en línia.,Les persones i les entitats només poden fer el tràmit per internet.
362ed58923f441ba7d9e,ca,DELETE,Negation,no,1,"• Així, actualment entre les deduccions generals pots trobar la deducció per inversió en empreses de nova o recent creació, deduccions per donatius i altres aportacions, deduccions per obres de millora d’eficiència energètica en habitatges, etc. • Si us plau, no oblidis que les deduccions autonòmiques varien segons la comunitat autònoma.","Ara mateix, hi ha diverses deduccions generals que podeu aplicar a la vostra declaració. Per exemple: - Si heu invertit diners en una empresa nova o una empresa creada fa poc temps. - Si heu fet donatius o aportacions a entitats. - Si heu fet obres per millorar l’eficiència energètica del vostre habitatge. Recordeu: cada comunitat autònoma té les seves pròpies deduccions. Així que poden canviar segons on visqueu."
951b9fed21e46c83c5a6,ca,DELETE,Negation,no,1,La ciutat solidària Les desigualtats econòmiques i socials no deixen de créixer tant a escala global com local.,La ciutat solidària Les diferències entre persones riques i persones pobres són cada cop més grans. Això passa tant al món sencer com a les ciutats.
48953b20fafd0d386f9a,es,DELETE,Negation,no,1,"Despliegue del euro digital El pleno señala que la confianza del público es imprescindible para que el euro digital tenga éxito e insiste en que el BCE debe demostrar sus beneficios antes de que los legisladores, y no el Consejo de gobierno del BCE en exclusiva, decidan sobre su introducción.","Comienzo del euro digital El parlamento dice que la confianza de los ciudadanos es importante para que el euro digital tenga éxito e insiste que el Banco Central europeo tiene que mostrar sus beneficios antes de que los diputados, además del Cosejo de Gobierno del Banco Central Europeo, decidan introducir el auro digital."
7814769e2cacb43463c6,en,DELETE,Number/date,frontline,1,Last year also saw the launch of the British Sign Language (BSL) app. This app has significantly helped ScotRail frontline staff communicate with BSL users during their journey.,ScotRail use an app that means staff can communicate with deaf passengers who use British Sign Language to communicate.
90480d9e6c5f2c50965a,it,DELETE,Number/date,1468,1,n. 1468 del 10/10/2019.,Esiste grazie a una legge del 2019.
ddf3dd982b059de7bb1c,it,DELETE,Number/date,2022,1,23 Contratto Nazionale di Servizio tra il Ministero dello Sviluppo Economico e la Rai per il periodo 2018-2022.,* Comitato di Confronto Il gruppo esiste grazie a un contratto tra la RAI e il Ministero dello Sviluppo Economico. La RAI è la Radiotelevisione Italiana. Il gruppo lavora per l'accessibilità nell'offerta della RAI.
5bda16786dcf5c21827b,es,DELETE,Other nominal information,equivalente,1,Seguimos denunciando que la Junta de Andalucía es cómplice de este desastre ambiental y que la expansión de aguacates en secano en el río Guadiaro y sus afluentes roba el agua a un equivalente de 50.000 habitantes al año.,Ecologistas en Acción denuncia que la Junta de Andalucía permite que el robo de agua a través de pozos suceda porque no persigue a los culpables. Los aguacates son una de las frutas tropicales que las grandes empresas cultivan y necesitan mucha agua. La cantidad de agua que usan para los aguacates es igual que la que usan los habitantes de un pueblo durante un año.
94195a3600b1169c61ab,ca,DELETE,Other nominal information,posicionament,1,"Un canvi de percepció a través dels anys La preocupació creixent dels responsables polítics va portar Jordi Portabella, aleshores regidor de Turisme, a encarregar, a finals del 2004, un estudi sobre el posicionament dels residents en relació amb el turisme.","Amb el pas del anys, la manera de veure el turisme va canviar. La classe política estava cada vegada més preocupada per la situació. Per això, a finals de l’any 2004, Jordi Portabella, que en aquell moment era regidor de Turisme, va demanar un estudi. Aquest estudi es va fer per saber que pensava la gent de la ciutat sobre el turisme."
f316d80561b872d201af,ca,DELETE,Other nominal information,propietat,1,"Un exemple es dona quan, a part del seu habitatge principal, una persona té un altre habitatge de propietat que no està llogat.","Per exemple, una persona té un pis on viu i un té altre pis on no viu i tampoc el té llogat. Tot i no cobrar res per aquest segon pis, ha de pagar l' IRPF com si guanyés diners."
937d9c342f40bf88798b,ar,DELETE,Other/unknown,ورغم,1,"ورغم خذلانه إياها وتخليه عنها بالطلاق كانت تقول: ""ما أحببت احدا مثل أبيك، ولكن رغم ذلك الحب، تزوجت والدتي بعد حوالي سنتين من ألبيرتو.","كانت تقول والدتي: ""ما أحببت أحدا مثل أبيك""، ولكن، رغم ذلك الحب ، تزوجت والدتي بعد حوالي سنتين من ألبيرتو."
0def36e776ffc549e345,ca,DELETE,Other/unknown,terciari,1,"En el cas d’inversors especialitzats en fotovoltaica, entre altres criteris, es garantirà que aquests fons diversifiquin la instal·lació de fotovoltaiques a diferents tipus d’edificis (residencial, terciari, industrial), fomentin l’autoconsum, les comunitats energètiques, la instal·lació de punts de càrrega per a vehicles elèctrics, etc., a la vegada que els inversors privats podran proposar millores en relació amb l’ús i l’aprofitament dels terrats comunitaris.","Quan els inversors que treballen amb plaques solars es presentin, hauran de compliar alguns requisits. Per exemple: - hauran d'instal·lar plaques solars en diferents tipus d'edificis: • habitatges, • oficines, • o fàbriques. - Hauran de fomentar l'autoconsum, perquè les persones puguin fer servir la seva pròpia energia. - També hauran d'impulsar les comunitats energètiques, on diverses persones comparteixen l'energia. - Hauran de posar punts de càrrega per a cotxes elèctrics. - Els inversors també podran fer propostes per millorar l'ús dels terrats dels edificis."
975b2ef68e8bf3e7b928,ca,DELETE,Other/unknown,jurídic,1,"Assessorament tècnic i jurídic Quan el ciutadà o ciutadana no s’ha dirigit en primera instància a l’Ajuntament o quan la queixa no és competència de la Sindicatura, poden dur-se a terme tres accions: orientació tècnica i jurídica, gestió directa de la Sindicatura amb els òrgans competents (que pot adoptar la forma de resolució alternativa de conflictes), o derivació a l’organ públic o privat pertinent.","Quan una persona no ha anat primer a l'Ajuntament o si la queixa no és responsabilitat de la Sindicatura, es poden fer 3 coses: -Donar informació i orientació legal. -Parlar amb les persones responsables del problema. -Enviar a la persona al lloc on ha d’anar per arreglar la seva queixa."
1d0986bea16d88cf8921,es,DELETE,Predicate,han,1,"Si bien parece haber un consenso importante alrededor de la necesidad de un cambio de rumbo en el gobierno polaco – una gran mayoría de estados miembros han apoyado las acciones de la Comisión durante los últimos dos años-, el presidente de Hungría, Viktor Orban, ha declarado anteriormente que su país se opondrá a cualquier tentativa de aplicar el artículo 7 a Polonia.","Parece que hay un acuerdo de la mayoria de estados miembros sobre la necesidad que el gobierno de Polonia cambie. Pero el presidente de Hungría, Viktor Orban, ha dicho que su pais se opondrá a aplicar el artículo 7 a Polonia."
27a40d7a596f791c5f70,es,DELETE,Predicate,quedar,1,"El PE pide al BCE que evalúe el efecto de los conflictos en la estabilidad de precios Notas de prensa, Sesión plenaria, economía, 11.02.2025 • Preocupación por la persistente inflación y su impacto en colectivos de rentas bajas • El BCE debe dotarse de un «plan geopolítico» para medir cómo afectan los conflictos a los precios • La decisión de introducir el euro digital no debe quedar solo en manos del BCE El pleno aprobó el martes recomendaciones al Banco Central Europeo, tras un debate el día anterior sobre sus prioridades con la presidenta Christine Lagarde.","El Parlamento europeo pide al Banco Central Europeo que estudie el efecto de las guerras en la subida de precios. Notas de prensa, Sesión del pleno, económia, 11 de febrero de 2025. • Preocupación por la subida de los precios y como afecta a los grupos de personas con menos dinero. • El Banco Central Europeo tiene que hacer un plan para medir como afectan las guerras a los precios. • La decisión de introducir el euro digital no es solo del Banco Central Europeo. El pleno aprobo el martes la recomendaciones al Banco Central Europeo después de un debate sobre los puntos importantes con la presidenta Christine Lagarde."
13932698b9efd8f5c5c0,en,DELETE,Predicate,behaving,1,I was behaving stupidly.,I was stupid.
2d413aae046d34da9f77,ar,DELETE,Punctuation,،,1,"ستستقرين يوما ما في بيت ألبيرتو، لا أريد لهذا الصبي أن يبقى هنا""، يقول لأمي، ولكن الرد يأتي على لسان آيدا: ""سأعتني، أنا، به"".","""لا أريد لهذا الصبي أن يبقى هنا""، يقول لأمي ولكن آيدا ترد: ""ساعتني أنا به""."
db4c81f505ef4a77f5c4,es,DELETE,Punctuation,),1,"Tras los comicios, el Parlamento somete a votación la selección de la nueva presidencia de la Comisión Europea (el órgano ejecutivo de la Unión) y la aprobación de todo el equipo de comisarios.","Después de las elecciones los diputados votan al presidente de la Comisión Europea y a los comisarios, es decir, los representantes políticos de la Comisión Europea. La Comisión Europea es uno de los órganos de la Unión Europea."
d56cad35758f3ecd01b9,ar,DELETE,Punctuation,،,1,كانت أمي على موعد لااستقبال أهل خطيب عواطف، أختي الكبرى.,كانت أمي على موعد لاستقبال أهل خطيب عواطف أختي الكبرى.
926c0f031e3f832b0073,ca,INSERT,Core participant/argument,persones,1,"A més, si ets un treballador desplaçat a territori espanyol, també és interessant que coneguis la popularment anomenada Llei Beckham.","Si no sou espanyols però veniu a Espanya a treballar durant un temps, és important que conegueu una llei que es coneix com a Llei Beckham. Aquesta llei permet que les persones estrangeres que treballen a Espanya paguin menys impostos"
275fd40d480fd997e495,ca,INSERT,Core participant/argument,problema,1,"Algunes mesures integrals En els últims temps, aquest tipus de desenvolupament turístic s’ha convertit en el blanc de les crítiques en altres ciutats.","Algunes accions per millorar el problema En els últims temps, aquest model de turisme ha rebut moltes crítiques en altres ciutats."
996a08eaf229b30feeef,it,INSERT,Core participant/argument,parte,1,Il bilancio europeo a lungo termine richiede l'approvazione unanime di tutti gli Stati membri e della maggioranza dei deputati al Parlamento europeo.,Il bilancio europeo sarà per parecchi anni. Il Parlamento europeo e gli Stati membri devono approvarlo: * Tutti gli stati membri devono essere d'accordo. * La maggior parte dei membri del Parlamento deve anche essere d'accordo.
738de6124defc8afa062,es,INSERT,Discourse marker or connective,que,1,"Democracia y derechos humanos El Parlamento entiende que su papel no solo consiste en fomentar los procesos democráticos de decisión en Europa, sino también en prestar apoyo a quienes luchan por la democracia, la libertad de expresión y unas elecciones libres y justas en todo el planeta.","Democracia y derechos humanos. El Parlamento sabe que tambien tiene que dar apoyo a las personas que luchan por la democracia, la libertad de expresión y unas elecciones libres y justas en todo el planeta."
35f8263cd68991ab5505,fr,INSERT,Discourse marker or connective,ou,1,"Progresser en français, à l'oral et à l'écrit, pour faciliter votre intégration et atteindre le niveau A11 voire A1.","- Progresser à l'oral et à l'écrit (lire, écrire, communiquer) - Atteindre le niveau A1.1 ou A1."
9927f0e7824fdcf44388,fr,INSERT,Discourse marker or connective,ou,1,Envoyez-moi Un mail : lorraine12@example.com +33 5 35 44 27 88,Vous pouvez envoyer un mail à lorrainelambert@example.net ou appelez le +33 5 35 44 27 88.
a08f18dbddaee71be767,ca,INSERT,Function/grammatical material,aquests,1,"Encara que només té validesa informativa i no pagues tribut, si no fas la declaració, pots tenir sancions econòmiques.","Encara que no hagis de pagar res, si no presentes aquests documents, et poden multar."
f1ba880aceea82028b0b,it,INSERT,Function/grammatical material,per,1,Partecipa al dibattito e aiutaci a fare in modo che le azioni che adottiamo oggi rafforzino l'Europa di domani.,Partecipa alla discussione. Così ci aiuti a fare buone scelte per il futuro dell'Europa.
0d4539c2a76f79155110,it,INSERT,Function/grammatical material,ad,1,"L’istruzione è infatti la chiave per spezzare il ciclo della povertà Recentemente, grazie ai nostri interventi, oltre 20.000 bambini hanno potuto riprendere gli studi, migliorando le loro prospettive di vita.","Studiare aiuta ad uscire dalla povertà. Grazie al nostro lavoro, più di 20.000 bambini sono tornati a scuola da poco. Così hanno più possibilità di avere un buon futuro."
f20fd08645a003c4986f,ca,INSERT,Mixed span,voler guanyar diners,3,"Subvencions de l'Ajuntament de Barcelona d'activitats i serveis de districte i de ciutat Inicia el tràmit Mètodes d'identificació admesos Aquest tràmit permet sol·licitar subvencions a les persones i entitats que duen a terme activitats i serveis sense ànim de lucre al municipi de Barcelona, o fora d’aquest si contribueixen a la promoció exterior de la ciutat.","Subvencions de l'Ajuntament de Barcelona d'activitats i serveis de districte i de ciutat. Inicia el tràmit Maneres per identificar-se permeses Aquest tràmit serveix per demanar subvencions, que són ajudes econòmiques. Les poden demanar persones o entitats que fan activitats o serveis sense voler guanyar diners. Aquestes activitats i serveis es poden fer a la ciutat de Barcelona o fora de la ciutat, si ajuden a fer conèixer Barcelona a altres llocs."
97c44522e1bf83cbd183,it,INSERT,Mixed span,Uniti .,2,"A far discutere e a lasciare perplessi molti osservatori internazionali è il metodo usato per calcolare questi dazi, che secondo Trump sarebbero reciproci rispetto a quelli imposti sulle merci statunitensi nei Paesi colpiti.",Molti esperti nel mondo discutono dei dazi degli Stati Uniti. Sono confusi come Donald Trump calcola questi dazi. I dazi sono le tasse sui prodotti stranieri. Trump dice: gli altri paesi hanno messo tasse sui nostri prodotti. Noi rispondiamo con le stesse tasse.
d6549ad3d056086cd569,en,INSERT,Mixed span,good health care,3,"We want everyone to have access to consistent, high-quality services wherever they live (...), and whenever they need them.",We want everyone to have access to good health care and social care support. They should have this wherever they live in Scotland.
974a43fd05cf163dfad0,es,INSERT,Modifier/detail,inividuales,1,"Los ciudadanos crean, comentan y votan las contribuciones en la Plataforma de Participación Ciudadana, ya sean aportaciones individuales o el resultado de un trabajo colectivo, por ejemplo en forma de un acto participativo.","Los ciudadanos crean, comentan y votan las propuestas en la Plataforma o web de Participación Ciudadana. Pueden ser propuestas inividuales o grupales, por ejemplo, en forma de un acto participactivo."
c4e548319ac676e8025c,en,INSERT,Modifier/detail,social,1,"We want everyone to have access to consistent, high-quality services wherever they live, and whenever they need them.",We want everyone to have access to good health care and social care support. They should have this wherever they live in Scotland.
40c93b6f058e2d031a55,it,INSERT,Modifier/detail,male,1,"Il problema principale da affrontare per semplificare l’apparato normativo italiano è migliorare la qualità delle nuove leggi che vengono approvate oggi dal Parlamento, che sono spesso scritte in modo frastagliato, non omogeneo e contraddittorio».",Il problema principale è: molte leggi nuove sono scritte male. Sono poche chiare e si contraddicono. Bisogna scrivere meglio le nuove leggi. Così si rende più semplici le leggi italiani.
4795150f7252b8a53c11,ca,INSERT,Named entity or proper name,Sindicatura,1,"És una institució en moviment que, de manera periòdica, es trasllada a un equipament de proximitat amb l’objectiu de recollir les queixes de la ciutadania, sense necessitat que aquesta es desplaci a la nostra seu.",La Sindicatura de tant en tant es mou a diferents llocs de la ciutat perquè tothom pugui posar queixes. D'aquesta manera la ciutadania no ha d'anar fins on es troba al centre de la Sindicatura.
baefd0ba4cb26f2628a1,ca,INSERT,Named entity or proper name,Beckham,1,"Per exemple, si una persona treballadora es desplaça a Espanya el setembre de 2024, sol·licita l’aplicació d’aquest règim fiscal i l’hi concedeixen, aquesta llei s’aplicarà a partir de l’any 2025 (primer any en què obté la residència fiscal a Espanya) i els 5 anys següents, és a dir, fins a l’any 2030.","Un exemple: Una persona treballadora arriba a Espanya el setembre de l'any 2024. Li aproven aquest règim especial, que començarà a aplicar-se l’any 2025, que és quan passa a ser resident fiscal a Espanya. La Llei Beckham s’aplicaria durant 5 anys, fins l'any 2030."
50be783a0032d11e314f,it,INSERT,Named entity or proper name,Esiste,1,"Un altro emendamento ha eliminato dall’elenco delle norme da abrogare alcuni atti che stabilivano la creazione di nuove parrocchie, tra cui la Parrocchia di Sant’Antonio da Padova nella borgata dell’Arenella a Palermo, ancora oggi esistente.",Un altro esempio: nella lista c'erano regole per creare nuove parrocchie. Per esempio la Parrocchia di Sant'Antonio da Padova a Palermo. Esiste ancora oggi.
ea669cdad5dea092ce64,es,INSERT,Negation,no,1,El magistrado rechaza también diligencias como llamar a declarar a más periodistas y al propio González Amador y mantiene la citación para este miércoles como investigado del fiscal general.,El juez no llamará a otros periodistas ni a Alberto González Amador para declarar. El fiscal general debe ir este miércoles al fiscal general para hablar sobre un caso.
a141a1c0584f7e7bb347,ca,INSERT,Negation,no,1,"En el cas de la instància telemàtica genèrica, hi ha un límit de sis documents annexos i una mida màxima de 5 Mb en total; quan els documents sobrepassen la mida màxima i es vol cursar igualment la sol·licitud, el tràmit de sol·licitud s’acaba sense documents adjunts.","Quan feu una instància per internet amb la instància genèrica, podeu afegir com a màxim 6 documents. La mida total dels documents no pot passar de 5 megabytes (Mb). Si els documents són massa grans, no es poden enviar. En aquest cas, la sol·licitud s’envia però sense els documents adjunts."
147696f7594e5005e8f3,es,INSERT,Negation,no,1,"El juez rechaza volcar el teléfono de Rodríguez y explica que su papel en la filtración de ese correo no incide en que siga siendo un posible delito que, además, se filtrara otro email anterior del abogado de González Amador ofreciendo un pacto y una confesión a la Fiscalía.",El juez no sacará toda la información del teléfono de Miguel Ángel Rodríguez. Explica que su papel en compartir el correo no cambia que sea un posible delito. También dice que alguien compartió otro correo del abogado de Alberto González Amador. Ese correo ofrecía un acuerdo y una declaración a la Fiscalía.
4ea244e6f07e822c8c75,es,INSERT,Number/date,7,1,"Por una parte, el artículo nace después del Tratado de Maastricht(1992), tradicionalmente visto como la transformación de una asociación principalmente económica (la CEE) hacia una unión verdaderamente política: la UE.","El artículo 7 nace después del Tratado de Maatrichten el año 1992. Por este tratado hay una transformación de una asociación económica, la Comunidad Económica Europea, a una unión política, la Unión Europea, de los paises miembros."
989e49042a6bb16205b1,it,INSERT,Number/date,2021,1,"All’epoca i giudici costituzionali avevano dichiarato incostituzionale la legge di Stabilità per il 2022 della Regione Molise, ossia la legge che stabilisce le variazioni delle entrate e delle uscite del bilancio regionale rispetto all’anno precedente.","Nel 2023, la Corte Costituzionale ha deciso: una legge è contro la Costituzione. Era una legge della Regione Molise sul bilancio: la legge di Stabilità per il 2022. La legge diceva come il bilancio cambia rispetto al 2021."
d5bcc7451c8daa7f913c,es,INSERT,Number/date,7,1,"Por otra parte, la configuración actual del artículo viene del Tratado de Niza, el Tratado que “prepara” la UE para la llamada ampliación big-bang, la entrada en la UE de 10 países de Europa central y del este.","Por otro lado, la estructura del articulo 7 viene del Tratado de Niza, que es el Tratado que prepara la Unión Europea para que entren 10 paises de Europa central y del este en la Unión. Esta ampliación de l aUniçon Europea se conoce como ampliación Big Bang."
45881b5df63dd8e84634,ca,INSERT,Other nominal information,Cap,1,"Així doncs, amb el canvi de mil·lenni, a moltes zones urbanes d’Europa ja s’havia establert un sector turístic reconeixible.","Cap a l’any 2000, el turisme ja era una activitat habitual a moltes ciutats d' Europa."
ab1a5d6736120530f4d3,fr,INSERT,Other nominal information,niveau,1,"l'apprentissage du français (test, recherche et orientation vers des cours de français adaptés à vos besoins).","- apprendre le français : test de niveau, recherche et orientation vers des cours adaptés à vos besoins"
98c2c188212e3da3b841,ca,INSERT,Other nominal information,exemple baranes,2,"Per tant, es consideren inversions que es poden finançar amb els diners dels pressupostos participatius les següents tipologies de propostes: • Millora de l’espai públic(Obrir en una pestanya nova): transformació de carrers, instal·lació d’elements urbans, creació o condicionament de zones verdes, construcció o millora d'instal·lacions.","Es poden fer els següents tipus de propostes: • Millorar l'espai públic: - arreglar els carrers. - Posar elements urbans com per exemple baranes, bancs o papereres. - Fer zones verdes o arreglar les que hi ha. - Construir o millorar les instal·lacions. - Fer més amples els espais per caminar. - Millorar els voltants de les escoles. - Posar ombra i llocs per refrecar-se quan fa molta calor. - Posar arbres, plantes i gespa a la ciutat. - Fer zones per jugar els infants i espais per fer esport. - Fer zones per jugar els gossos."
79f7e5578bdad5a5063f,it,INSERT,Other/unknown,difficili,1,Il problema delle leggi spesso poco comprensibili è stato sollevato di recente dalla stessa Corte Costituzionale.,"Di recente, anche la Corte Costituzionale ha detto: molte leggi sono difficili da capire. La Corte Costituzionale si occupa di questioni relativi alla Costituzione."
8f84917ae10860982562,it,INSERT,Other/unknown,sole,1,"Tavolo di concertazione sull’FNA, istituito presso il Ministero del Lavoro e delle Politiche Sociali; Comitato tecnico di Coordinamento sui progetti di Vita Indipendente, istituito presso il Ministero del Lavoro e delle Politiche sociali; Tavolo di consulta con le associazioni di persone con disabilità, istituito da RFI – Rete Ferroviaria Italiana.","* Tavolo di concertazione sull’FNA FNA sta per Fondo per le non autosufficienze. È un sostegno per le persone che non possono prendere cura di sé da sole. Il gruppo fa parte del Ministero del Lavoro e delle Politiche Sociali. Decide come usare i soldi del FNA. * Comitato tecnico di Coordinamento sui progetti di Vita Indipendente Il gruppo sostiene e organizza i progetti per le persone con disabilità che vivono da sole. Fa parte del Ministero del Lavoro e delle Politiche Sociali. * Tavolo di consulta con le associazioni di persone con disabilità Il gruppo fa parte della Rete Ferroviaria Italiana. Vuole migliorare l'accessibilità dei treni, delle stazioni e di tutti i servizi del treno."
7ca7aed2f49572022134,en,INSERT,Other/unknown,when,1,The mayor spoke about public procurement.,The mayor spoke about when public organisations buy things from companies.
12a86be861fc7e617c3f,it,INSERT,Predicate,sono,1,"Univers@bility crede nei valori di pace, solidarietà e condivisione: proprio per questo motivo potrai godere di uno spazio dedicato sul sito, un canale tramite il quale poter condividere il tuo messaggio, utile per farsi conoscere anche al di fuori del proprio territorio di appartenenza, magari collaborando con la redazione della rivista Univers@bility, o utilizzando il nostro e-commerce solidale per promuovere i tuoi prodotti o i tuoi lavori artigianali.","Questi valori sono importanti per Univers@ability: * la pace * il sostegno e l'aiuto * condividere con gli altri Per questo, ti offriamo: * uno spazio sul nostro sito. Potrai parlarci dell'associazione e del suo lavoro. * puoi collaborare con il team della nostra rivista Univers@ability. * puoi vendere i tuoi prodotti e lavori sul nostro sito di vendita online. Così più persone conosceranno la tua associazione."
