instance_id,pair_id,side,label,text,n_tokens,language,collection,document_id,split
011763caf3009ec3aca3_original,011763caf3009ec3aca3,original,1,تغطي المساحات الخالية، حول البييوت الثلاثة، أشجار كثيرة، كالمانجو والموز والجوافة والبابايا والجاكفروت، تحيطها من كل جانب أشجار البامبو مشكلة بسيقاتها الطويلة سورا لأرض ميندوزا.,30,ar,ar,arabic_cleaned_data.txt,train
011763caf3009ec3aca3_simplified,011763caf3009ec3aca3,simplified,0,حول البيوت الثلاثة، أشجار كثيرة، كالمانجو والموز والبابايا والجاكفروت، ومن حولها أشجار البامبو وكانها سور لأرض ميندوزا.,21,ar,ar,arabic_cleaned_data.txt,train
013dbb206ee60125ed77_original,013dbb206ee60125ed77,original,1,"Estas estrategias multidisciplinarias permiten abordar de forma integral las secuelas físicas y cognitivas, garantizando una recuperación adaptada a las necesidades de cada persona.",25,es,es,idem_es_ES_001_005.txt,validation
013dbb206ee60125ed77_simplified,013dbb206ee60125ed77,simplified,0,Estos programas de equipos de profesionales de varias áreas ayudan a mejorar los problemas físicos y cerebrales de los pacientes que necesitan apoyo para recuperarse.,26,es,es,idem_es_ES_001_005.txt,validation
017d51504b62b7877660_original,017d51504b62b7877660,original,1,"Tra i decreti regi abrogati, ce n’è uno che nel 1861 ha imposto alle «Finanze dello Stato» di cedere al «sig.",27,it,it,idem_it_IT_053_067.txt,train
017d51504b62b7877660_simplified,017d51504b62b7877660,simplified,0,Una regola cancellata è del 1861. Diceva allo Stato: dovete dare una casa pubblica a Rimini al signore Luigi Rinaldi.,23,it,it,idem_it_IT_053_067.txt,train
0190b4f0e1317cd63f85_original,0190b4f0e1317cd63f85,original,1,News: Easy Read Feedback Group,6,en,en,carlo_english_merged.txt,train
0190b4f0e1317cd63f85_simplified,0190b4f0e1317cd63f85,simplified,0,News about our Easy Read feedback group,7,en,en,carlo_english_merged.txt,train
0198a3fcad7af9194470_original,0198a3fcad7af9194470,original,1,"سألتها: ""ماذا قال""؟ أجابت: ""يقول بابو إن السيّدة الكبيرة كانت تسخر منهم إذا ما شاهدتهم يتابعون الأفلام الهندية كيف تصدقون تلك القصص، كانت تقول لهم، وها هو اليوم حفيدها يعود بقصة مشابهة للأفلام الهندية"".",44,ar,ar,arabic_cleaned_data.txt,train
0198a3fcad7af9194470_simplified,0198a3fcad7af9194470,simplified,0,"سألتها، ""ماذا قال""؟ أجابت: ""يقول بابو إن السيدة الكبيرة تسخر منهم عندما يشاهدون الأفلام الهندية، كيف تصدقون تلك القصص، تقول لهم، وها هو اليوم حفيدها يعود بقصة مشابهة للأفلام الهندية"".",41,ar,ar,arabic_cleaned_data.txt,train
01aa754e3de946bdd827_original,01aa754e3de946bdd827,original,1,How did you get the idea to form “Dançando com a Diferença”?,15,en,en,carlo_english_merged.txt,validation
01aa754e3de946bdd827_simplified,01aa754e3de946bdd827,simplified,0,How did you get the idea to start an inclusive dance company?,13,en,en,carlo_english_merged.txt,validation
01f04ede7218ffad35e1_original,01f04ede7218ffad35e1,original,1,Please tell us three challenges about the NHS.,9,en,en,carlo_english_merged.txt,train
01f04ede7218ffad35e1_simplified,01f04ede7218ffad35e1,simplified,0,Please tell us three things you don't like about the NHS,12,en,en,carlo_english_merged.txt,train
01fb84d58f03ea92d867_original,01fb84d58f03ea92d867,original,1,"Throughout October, the Access Panel Network and its dedicated volunteers have been working tirelessly to enhance accessibility within local communities.",22,en,en,carlo_english_merged.txt,train
01fb84d58f03ea92d867_simplified,01fb84d58f03ea92d867,simplified,0,Access Panels are groups of people in local areas who work together to make changes for disabled people.,19,en,en,carlo_english_merged.txt,train
0248dd7ec6266fc9606d_original,0248dd7ec6266fc9606d,original,1,Il tuo parere è fondamentale per garantire che il bilancio europeo risponda alle esigenze concrete e crei cambiamenti significativi.,20,it,it,idem_it_IT_016_022.txt,train
0248dd7ec6266fc9606d_simplified,0248dd7ec6266fc9606d,simplified,0,La tua opinione è molto importante. Serve per fare il bilancio europeo. Il bilancio deve essere adatto ai bisogni di tutti e deve cambiare le cose in meglio.,31,it,it,idem_it_IT_016_022.txt,train
025e351eb683b43999ed_original,025e351eb683b43999ed,original,1,"Algunes estan tenint més èxit que d’altres, però caldrà esperar per comprovar el seu efecte real.",19,ca,ca,idem_ca_CAT_024_047.txt,train
025e351eb683b43999ed_simplified,025e351eb683b43999ed,simplified,0,"Algunes mesures tenen més èxit que d' altres, però encara s’ha d’esperar per veure si funcionen bé.",22,ca,ca,idem_ca_CAT_024_047.txt,train
026a4bdc2dc58f58bbc3_original,026a4bdc2dc58f58bbc3,original,1,Proposer un accompagnement aux personnes en repli social à cause d'un Trouble de Stress Post-Traumatique.,17,fr,fr,french_tagged.txt,train
026a4bdc2dc58f58bbc3_simplified,026a4bdc2dc58f58bbc3,simplified,0,"Un accompagnement adapté et personnalisé pour des personnes isolées avec des troubles de stress post-traumatiques (cauchemars, épuisement physique et mental, hallucinations...).",27,fr,fr,french_tagged.txt,train
0279af57dc21e67ab648_original,0279af57dc21e67ab648,original,1,"Le marmotte gli insegnarono che anche loro, come gli umani, avevano un linguaggio e prendevano decisioni importanti per la loro comunità.",24,it,it_carlo,carlo_italian_merged.txt,validation
0279af57dc21e67ab648_simplified,0279af57dc21e67ab648,simplified,0,Le marmotte spiegano a Elio che anche loro hanno un loro linguaggio e che anche loro prendono decisioni importanti per la loro comunità.,24,it,it_carlo,carlo_italian_merged.txt,validation
02930427b6ba9225934a_original,02930427b6ba9225934a,original,1,"La consejera de Sanidad, Fátima Matute, ha visitado hoy sus instalaciones, donde los enfermos son atendidos por un equipo multidisciplinar de médicos rehabilitadores, fisioterapeutas, terapeutas ocupacionales y logopedas.",34,es,es,idem_es_ES_001_005.txt,validation
02930427b6ba9225934a_simplified,02930427b6ba9225934a,simplified,0,Fátima Matute es la consejera de Sanidad. La consejera visitó el hospital donde realizan este programa. Un equipo de profesionales y médicos de distintas especialidades atienden a los pacientes. Los médicos son: fisioterapeutas rehabilitadores terapeutas ocupacionales logopedas,41,es,es,idem_es_ES_001_005.txt,validation
0297ac33fa85a88d6cbb_original,0297ac33fa85a88d6cbb,original,1,- Mail : renardstephane@example.net,4,fr,fr,french_tagged.txt,train
0297ac33fa85a88d6cbb_simplified,0297ac33fa85a88d6cbb,simplified,0,- par mail : renardstephane@example.net,5,fr,fr,french_tagged.txt,train
02cada5c2ab593191c31_original,02cada5c2ab593191c31,original,1,Which type of health and care organisation do you primarily work for?,13,en,en,carlo_english_merged.txt,test
02cada5c2ab593191c31_simplified,02cada5c2ab593191c31,simplified,0,Where do you work?,5,en,en,carlo_english_merged.txt,test
02cf7eb3ec46885a4310_original,02cf7eb3ec46885a4310,original,1,"Pochi mesi prima, Matteo Salvini aveva brandito un rosario durante un comizio in piazza Duomo a Milano, invocando la protezione del «cuore immacolato di Maria».",30,it,it,idem_it_IT_051_52.txt,train
02cf7eb3ec46885a4310_simplified,02cf7eb3ec46885a4310,simplified,0,"Matteo Salvini fa parte del partito Lega Nord. Pochi mesi prima, ha parlato in piazza Duomo a Milano. Ha mostrato un rosario e ha chiesto aiuto alla Madonna.",32,it,it,idem_it_IT_051_52.txt,train
0316cfd0d1c197566bef_original,0316cfd0d1c197566bef,original,1,Es pot presentar la declaració de l’IRPF de manera conjunta?,12,ca,ca,idem_ca_CAT_060_084.txt,train
0316cfd0d1c197566bef_simplified,0316cfd0d1c197566bef,simplified,0,Es pot presentar la declaració de renda de manera conjunta?,11,ca,ca,idem_ca_CAT_060_084.txt,train
036bf34d90803a057751_original,036bf34d90803a057751,original,1,"Ese correo previo con la confesión del empresario, que fue publicado de forma íntegra en la mañana del 14 de marzo por El Plural, circuló según el juez “a partir de la actuación de un tercero ajeno a la confidencia” que “lo filtra subrepticiamente a la prensa sin autorización”.",56,es,es,idem_es_ES_017_025.txt,train
036bf34d90803a057751_simplified,036bf34d90803a057751,simplified,0,"El periódico El Plural lo publicó todo. Según el juez, otra persona lo filtró a la prensa sin permiso.",22,es,es,idem_es_ES_017_025.txt,train
038149dda61922168826_original,038149dda61922168826,original,1,"Il Parlamento nel passato Il Parlamento ha acquisito nuovi poteri attraverso le successive modifiche dei trattati europei, che hanno conferito un peso sempre maggiore all'unico organo dell'UE direttamente eletto.",33,it,it,idem_it_IT_011_015.txt,test
038149dda61922168826_simplified,038149dda61922168826,simplified,0,"Il Parlamento europeo nel passato I trattati europei sono cambiati più volte. Con questi cambiamenti, il Parlamento ha avuto sempre più potere. È diventato sempre più importante. Il Parlamento europeo è l'unica istituzione dell'UE che la gente elegge direttamente.",46,it,it,idem_it_IT_011_015.txt,test
03bb1d8889b01bce32e9_original,03bb1d8889b01bce32e9,original,1,تمأمئ وتجبيها الخراف الأخرى في بيوت الجيران، وكأنهم يتبادلون التهاني في العيد أو ربما يودعون بعضهم البعض قبل مجزرة جماعية صباحية تسيل فيها دماؤهم إلى خارج البيوت تنجرف مع المياه بمحاذاة الرصيف لتصب في فتحة المجاري القريبة.,39,ar,ar,arabic_cleaned_data.txt,train
03bb1d8889b01bce32e9_simplified,03bb1d8889b01bce32e9,simplified,0,تمأمئ الخراف وكأنهم يتبادلون التهاني في العيد أو ربما يودعون بعضهم البعض قبل مجزرة جماعية صباحية تسيل فيها دماؤهم إلى خارج البيوت على الرصيف.,25,ar,ar,arabic_cleaned_data.txt,train
03efe070f04ea741c283_original,03efe070f04ea741c283,original,1,كان جدّي وخالتي آيدا وميرلا، بل وحتى خالي بيدرو وعائلته، يعتمدون بشكل أساسي على ما تبعثه والدتي من مال نهاية كل شهر عندما كانت تعمل خادمة، وقد تحسن الوضع كثيرا بعدما أصبحت والدتي تبعث راتبها كاملا بعد سداد مستحقات جماعة البومباي، ما ساعد جدي، برغبة من آيدا وخشية منها، على شراء ثلاجة، وإن خلت، في معظم الوقت، من الاطعمة.,69,ar,ar,arabic_cleaned_data.txt,train
03efe070f04ea741c283_simplified,03efe070f04ea741c283,simplified,0,كان جدّي وخالتي آيدا ومولا: بل وحتى خالي بيدرو وعائلته، يعيشون مما ترسله والدي من مال نهاية كل شهر عندما كانت تعمل خادمة، وقد تحسن الوضع كثرا، ما ساعد على شراء ثلاجة، وإن كانت؛ في معظم الوقت، خالية من الأطعمة.,48,ar,ar,arabic_cleaned_data.txt,train
043cbf6548abdadd6d87_original,043cbf6548abdadd6d87,original,1,ولكنني توقفت عن هذه العادة بعد موقف لست أنساه.,10,ar,ar,arabic_cleaned_data.txt,train
043cbf6548abdadd6d87_simplified,043cbf6548abdadd6d87,simplified,0,ولكنني توقفت عن هذه العادة بعد موقف لست أنساه.,10,ar,ar,arabic_cleaned_data.txt,train
046f17c5097cbb3a8ae8_original,046f17c5097cbb3a8ae8,original,1,"Le marmotte gli insegnarono che anche loro, come gli umani, avevano un linguaggio e prendevano decisioni importanti per la loro comunità.",24,it,it_carlo,carlo_italian_merged.txt,train
046f17c5097cbb3a8ae8_simplified,046f17c5097cbb3a8ae8,simplified,0,Le marmotte spiegano a Elio che anche loro hanno un linguaggio e che anche loro prendono decisioni importanti per la loro comunità.,23,it,it_carlo,carlo_italian_merged.txt,train
0472f6d50c7451e7248d_original,0472f6d50c7451e7248d,original,1,"También supervisa la actividad de la Comisión y de otros órganos de la UE, y coopera con los parlamentos de los Estados miembros de la UE encauzando sus aportaciones.",31,es,es,idem_es_ES_037_041.txt,test
0472f6d50c7451e7248d_simplified,0472f6d50c7451e7248d,simplified,0,"También vigila la actividad de la Comisión y de otros organos de la Unión Europea. Además, colabora con otros parlamentos de los paises miembros de la Unión Europea recogiendo sus propuestas.",34,es,es,idem_es_ES_037_041.txt,test
0473275188e34b29c6eb_original,0473275188e34b29c6eb,original,1,"También se están teniendo en cuenta las opiniones y sugerencias de los vecinos, recogidas a través de varias encuestas realizadas en los últimos meses, tales como la Encuesta de Última Milla de antes de verano o la Encuesta de Movilidad que Las Rozas Innova lanzó en septiembre, como motivo de la Semana Europea de la Movilidad, en la que participaron más de 1.200 personas.",69,es,es,idem_es_ES_046_050.txt,validation
0473275188e34b29c6eb_simplified,0473275188e34b29c6eb,simplified,0,"Tambien tenemos en cuenta la opinion y propuestas de vecinos recogida por varias encuesta que hemos hecho en los últimos meses como la Encuesta de Última Milla de antes de verano o la Encuesta de Movilidad que Las Rozas Innova lanzó en septiembre, con motivo de la Semana Europea de la Movilidad, en la que participaron más de 1.200 personas.",63,es,es,idem_es_ES_046_050.txt,validation
0493e809872daf49e226_original,0493e809872daf49e226,original,1,"La Sindicatura exerceix les seves funcions amb independència i imparcialitat i, per tant, no rep instruccions de cap autoritat o càrrec municipal.",25,ca,ca,idem_ca_CAT_090_093.txt,validation
0493e809872daf49e226_simplified,0493e809872daf49e226,simplified,0,La Sindicatura fa la seva feina de manera lliure i justa. No rep ordres de cap autoritat o càrrec de l’ajuntament.,24,ca,ca,idem_ca_CAT_090_093.txt,validation
04a0f3e70ede3a60f1c0_original,04a0f3e70ede3a60f1c0,original,1,"Diritto alla salute Ogni anno, milioni di bambini sotto i 5 anni muoiono per malattie facilmente prevenibili, come polmonite e diarrea.",24,it,it,idem_it_IT_023_027.txt,test
04a0f3e70ede3a60f1c0_simplified,04a0f3e70ede3a60f1c0,simplified,0,"Diritto alla salute Ci sono molte malattie che possiamo evitare facilmente. Per esempio: * la polmonite. È una malattia dei polmoni. * la diarrea. È un problema alla pancia. Ma ogni anno, milioni di bambini sotto i 5 anni muoiono di queste malattie.",51,it,it,idem_it_IT_023_027.txt,test
04d922955150a1c6007c_original,04d922955150a1c6007c,original,1,"La stretta sulle intercettazioni è legge La Camera ha approvato definitivamente la proposta per limitarle a un massimo di 45 giorni, salvo eccezioni Poco dopo la mezzanotte del 20 marzo, la Camera ha approvato in via definitiva la proposta di legge di Forza Italia che introduce un limite alla durata delle intercettazioni giudiziarie.",56,it,it,idem_it_IT_036_040.txt,train
04d922955150a1c6007c_simplified,04d922955150a1c6007c,simplified,0,"Regole più strette per le intercettazioni Intercettazioni significa: la polizia può ascoltare le telefonate o leggere i messaggi di una persona. È solo permesso se la persona fa o potrebbe fare qualcosa di illegale. Adesso, le regole per le intercettazioni diventano più stretti: possono durare solo 45 giorni, con alcune eccezioni. La Camera ha approvato questa nuova legge. Era il 20 marzo, poco dopo la mezzanotte. Il partito Forza Italia ha proposto la legge.",85,it,it,idem_it_IT_036_040.txt,train
04dd99ab462ee85acbcb_original,04dd99ab462ee85acbcb,original,1,"كان شعورا رائعا يا جوزافين!"".",8,ar,ar,arabic_cleaned_data.txt,train
04dd99ab462ee85acbcb_simplified,04dd99ab462ee85acbcb,simplified,0,كان شعورا رائعا يا جوزافين.,6,ar,ar,arabic_cleaned_data.txt,train
04df57460b469dc2b3f6_original,04df57460b469dc2b3f6,original,1,El encuentro tuvo lugar finalmente en Miami.,8,es,es,idem_es_ES_083_107.txt,train
04df57460b469dc2b3f6_simplified,04df57460b469dc2b3f6,simplified,0,"Al final, el encuentro lo hicieron en Miami.",10,es,es,idem_es_ES_083_107.txt,train
04ec48d79f6824c3a5a4_original,04ec48d79f6824c3a5a4,original,1,"Con 378 votos a favor, 233 en contra y 26 abstenciones, los eurodiputados reclaman al BCE más medidas para frenar la inflación, cuyos peores efectos castigan sobre todo a los más vulnerables de la sociedad, y que garantice que al desplegar el euro digital tendrá en cuenta las preocupaciones de los ciudadanos.",57,es,es,idem_es_ES_030_036.txt,test
04ec48d79f6824c3a5a4_simplified,04ec48d79f6824c3a5a4,simplified,0,Los resultados de la votación son: • 378 votos a favor • 233 votos en contra • 26 abstenciones Los eurodiputados reclaman medidas al Banco Central Europeo para frenar la subida de precios que castigan a las personas mas desfavorecidas. Tambien reclaman medidas que tengan en cuenta las preocupaciones de los ciudadanos al introducir el euro digital.,60,es,es,idem_es_ES_030_036.txt,test
05070b4c7b98c9bfc8d5_original,05070b4c7b98c9bfc8d5,original,1,- La médiatrice l'accompagne vers le lieu de pratique et reste au besoin,14,fr,fr,french_tagged.txt,train
05070b4c7b98c9bfc8d5_simplified,05070b4c7b98c9bfc8d5,simplified,0,- La médiatrice vous accompagne vers le lieu de pratique et reste si besoin,14,fr,fr,french_tagged.txt,train
050aacca09b8473a27c3_original,050aacca09b8473a27c3,original,1,• L’Ajuntament revisarà els documents i publicarà la resolució provisional i els documents que cal presentar.,18,ca,ca,idem_ca_CAT_053_059.txt,test
050aacca09b8473a27c3_simplified,050aacca09b8473a27c3,simplified,0,L’Ajuntament revisarà els documents i publicarà un primer resultat amb la seva decisió.,15,ca,ca,idem_ca_CAT_053_059.txt,test
0521b7f180e85a801fbc_original,0521b7f180e85a801fbc,original,1,"En el desempeño de su papel, el Parlamento ha tratado siempre de promover la democracia y los derechos humanos, no solo en Europa, sino en todo el mundo.",32,es,es,idem_es_ES_037_041.txt,test
0521b7f180e85a801fbc_simplified,0521b7f180e85a801fbc,simplified,0,"El Parlamento siempre ha tratado de promover la democracia y los derechos humanos, no solo en Europa, si no en todo el mundo.",26,es,es,idem_es_ES_037_041.txt,test
05271e0490f827b4fb59_original,05271e0490f827b4fb59,original,1,Inscription sur internet,3,fr,fr,french_tagged.txt,train
05271e0490f827b4fb59_simplified,05271e0490f827b4fb59,simplified,0,Inscription sur internet,3,fr,fr,french_tagged.txt,train
053d5a1ee593c7316cb5_original,053d5a1ee593c7316cb5,original,1,• Prestació de serveis professionals altament qualificats a empreses emergents innovadores o realització de formació i investigació en innovació.,20,ca,ca,idem_ca_CAT_060_084.txt,train
053d5a1ee593c7316cb5_simplified,053d5a1ee593c7316cb5,simplified,0,"• Fer una feina molt especialitzada per a empreses noves i innovadores, o bé fer formació i investigació en temes nous.",23,ca,ca,idem_ca_CAT_060_084.txt,train
058ba29fb80c23f60706_original,058ba29fb80c23f60706,original,1,"فقدت أعصابها: ""الكويت صغيرة والكلام ينتشر بسرعة لو علم فيصل، زوجي، وأهله بأمر هذا الولد ستهتز صورتي أمامه، أفقد احترامي في بيت العادل، وأصبح أضحوكة لأخوات فيصل وزوجات إخوته""، حملت حقيبتها غاضبة تاركة المكان.",43,ar,ar,arabic_cleaned_data.txt,train
058ba29fb80c23f60706_simplified,058ba29fb80c23f60706,simplified,0,"ارتفع صوتها: ""الكويت صغيرة والكلام ينتشر بسرعة، لو علم فيصل، زوجي وأهله بأمر هذا الولد، أفقد احترامي وأصبح أضحوكة لأخوات فيصل وزوجات إخوته""، حملت حقيبتها غاضبة وتركت المكان.",36,ar,ar,arabic_cleaned_data.txt,train
058f5bb3befd2c8a9d5b_original,058f5bb3befd2c8a9d5b,original,1,"Un nuevo presupuesto europeo a la altura de nuestras ambiciones Una fuerza motriz de la acción europea Participa Consulta pública en línea Además de expresar tu punto de vista en el debate a través de la plataforma, puedes participar en las consultas en línea abiertas sobre este tema.",50,es,es,idem_es_ES_062_069.txt,train
058f5bb3befd2c8a9d5b_simplified,058f5bb3befd2c8a9d5b,simplified,0,"Un nuevo presupuesto Europeo a la altura de lo que necesitamos. Una fuerza motor de Europa Participa Consulta publica a través de la plataforma o web. Además de expresar tu opinión en el debate a través de la Paltaforma o web, puedes participar en las consultas por internet abiertas sobre este tema.",56,es,es,idem_es_ES_062_069.txt,train
05a571dc51532e338590_original,05a571dc51532e338590,original,1,"كانت ولا تزال تؤمن بفلسفتها الخاصة: ""كل شيء يحدث بسبب ولسبب"".",15,ar,ar,arabic_cleaned_data.txt,validation
05a571dc51532e338590_simplified,05a571dc51532e338590,simplified,0,"كانت ولا تزال تؤمن بفلسفتها الخاصة : "" كل شيء يحدث بسبب ولسبب"".",15,ar,ar,arabic_cleaned_data.txt,validation
05ae643c3f2a15bd3a6b_original,05ae643c3f2a15bd3a6b,original,1,"Bulos que, desde hacía horas, difundía entre los periodistas Miguel Ángel Rodríguez.",15,es,es,idem_es_ES_017_025.txt,train
05ae643c3f2a15bd3a6b_simplified,05ae643c3f2a15bd3a6b,simplified,0,Miguel Ángel Rodríguez reconoció que él difundía noticias falsas entre periodistas desde hacía horas.,15,es,es,idem_es_ES_017_025.txt,train
05bd5060083a948814d0_original,05bd5060083a948814d0,original,1,"Com a resultat, ciutats com Amsterdam i Copenhaguen han pres mesures per evitar els seus efectes negatius.",19,ca,ca,idem_ca_CAT_024_047.txt,train
05bd5060083a948814d0_simplified,05bd5060083a948814d0,simplified,0,Algunes ciutats com Amsterdam o Copenhaguen han començat a aplicar mesures per reduir els problemes del turisme.,19,ca,ca,idem_ca_CAT_024_047.txt,train
05e64eb00741cc87d130_original,05e64eb00741cc87d130,original,1,La OTAN se fundó como una alianza militar anticomunista en 1949 y continuó durante la Guerra Fría.,18,es,es,idem_es_ES_012_016.txt,test
05e64eb00741cc87d130_simplified,05e64eb00741cc87d130,simplified,0,"En 1949, varios países firmaron una alianza militar anticomunista que se llama Organización del Tratado del Atlántico Norte o OTAN.",22,es,es,idem_es_ES_012_016.txt,test
062381c0cb878591d808_original,062381c0cb878591d808,original,1,Recherche d'un métier adapté à vos compétences et aux besoins des entreprises,13,fr,fr,french_tagged.txt,train
062381c0cb878591d808_simplified,062381c0cb878591d808,simplified,0,Recherche d'un métier adapté à vos compétences et aux besoins des entreprises,13,fr,fr,french_tagged.txt,train
06316ef729f136123d3a_original,06316ef729f136123d3a,original,1,"En líneas generales, el gobierno polaco defiende que las reformas llevadas a cabo formaban parte de su programa electoral, y que eso las dota de legitimidad democrática a pesar de haber sido declaradas inconstitucionales.",37,es,es,idem_es_ES_051_061.txt,train
06316ef729f136123d3a_simplified,06316ef729f136123d3a,simplified,0,"El gobierno de Polonia defiende que la reformas que han hecho estan dentro de su programa electoral y que eso les da peso democratico, aunque hayan sido declaradas antinconstitucionales.",31,es,es,idem_es_ES_051_061.txt,train
066e572441163cb76b90_original,066e572441163cb76b90,original,1,Connaître et comprendre ses symptômes peut permettre de mieux vivre avec,11,fr,fr,french_tagged.txt,validation
066e572441163cb76b90_simplified,066e572441163cb76b90,simplified,0,Apprendre à connaître et à comprendre vos symptômes peut permettre de mieux vivre avec et d'aller mieux.,19,fr,fr,french_tagged.txt,validation
070a6270d80106370a57_original,070a6270d80106370a57,original,1,"Las Rozas Innova está trabajando para poner en marcha en el marco del Plan de Movilidad Urbana Sostenible, medidas y acciones concretas en la ciudad como una red de cargadores eléctricos municipales, ayudas a la electrificación o la creación de hubs, estaciones o Áreas de Movilidad Multimodal que facilitarán el acceso a vecinos y visitantes de soluciones sostenibles para el desplazamiento por la ciudad.",68,es,es,idem_es_ES_046_050.txt,validation
070a6270d80106370a57_simplified,070a6270d80106370a57,simplified,0,"Las Rozas Innova trabaja para poner en marcha dentro del Plan de Movilidad Urbana Sostenible, medidas y acciones concretas en la ciudad como: • una red de cargadores electricos municipales • ayudas a la electrificación o la creación de hubs o dispositivos que conectan varios dispositivos • estaciones o Áreas de Movilidad Multimodal que facilitarán el acceso a vecinos y visitantes. Soluciones sostenibles con el medio ambiente que facilitan el desplazamiento por la ciudad.",78,es,es,idem_es_ES_046_050.txt,validation
07406925f6bb56cfa0da_original,07406925f6bb56cfa0da,original,1,En los informes aparece el viaje que Aliste realizó a Miami para entrevistarse con dos cargos del chavismo que tendrían información perjudicial para Podemos y que la entregarían “a cambio de nada”.,35,es,es,idem_es_ES_083_107.txt,train
07406925f6bb56cfa0da_simplified,07406925f6bb56cfa0da,simplified,0,En los informes aparece un viaje que José Aliste hizo a Miami para entrevistarse con 2 políticos de venezuela que tenían información contra Podemos. En el informe pone que estos políticos darían la información gratis.,37,es,es,idem_es_ES_083_107.txt,train
074caa329f38e1e29fd2_original,074caa329f38e1e29fd2,original,1,La Comunidad de Madrid aplica un innovador programa de ejercicio terapéutico para pacientes con cáncer en el Hospital público Gregorio Marañón. La Comunidad de Madrid aplica un innovador programa de ejercicios terapéuticos para pacientes con cáncer en el Hospital público General Universitario Gregorio Marañón.,46,es,es,idem_es_ES_001_005.txt,validation
074caa329f38e1e29fd2_simplified,074caa329f38e1e29fd2,simplified,0,La Comunidad de Madrid pone en marcha un programa de terapias con ejercicio físico para pacientes con cáncer. El Hospital público Gregorio Marañón de Madrid lleva a cabo este programa novedoso.,33,es,es,idem_es_ES_001_005.txt,validation
